koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname_q1_q16_tce,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,koi_depth_err1,koi_time0bk_err1,koi_insol_err1,koi_model_snr,koi_kepmag,koi_period_err2,koi_slogg_err2,koi_prad_err2,koi_prad_err1,ra,koi_duration,dec,koi_period,koi_depth,koi_srad,koi_srad_err2,koi_duration_err2,koi_steff_err1,koi_time0bk,koi_slogg_err1,koi_score,koi_period_err1,koi_insol_err2,koi_teq,koi_time0bk_err2,koi_steff_err2,koi_impact_err2,koi_steff,koi_duration_err1,koi_impact_err1,koi_tce_plnt_num,koi_insol,koi_depth_err2,koi_impact,koi_prad,koi_slogg,koi_srad_err1
0,0,0,0,0.0,0.0,1.0,14.9,0.00239,1277.72,24.5,15.298,-5.33e-06,-0.216,-0.2,0.61,289.18668,1.6762,50.937561,2.032319072,316.0,1.05,-0.114,-0.069,171.0,132.32157,0.054,0.999,5.33e-06,-427.18,1542.0,-0.00239,-236.0,-0.133,6156.0,0.069,0.332,1.0,1333.35,-14.9,0.133,1.87,4.443,0.341
0,0,0,0,0.0,0.0,1.0,88.6,0.00541,10682.43,12.9,16.494,-1.05e-05,-0.234,-48.5,36.4,300.92484,1.907,44.24968,1.63668262,922.0,3.739,-1.743,-0.235,158.0,131.64586,0.402,1.0,1.05e-05,-7631.1,2562.0,-0.00541,-174.0,-0.518,5234.0,0.235,7.189,1.0,10160.3,-88.6,1.22,103.99,3.436,1.307
0,0,0,0,0.0,0.0,1.0,18.0,0.0017,161.94,17.1,15.397,-1.49e-06,-0.032,-0.09,0.06,287.80502,0.641,46.00116,0.701944362,211.0,0.539,-0.06,-0.1,115.0,132.00161,0.063,1.0,1.49e-06,-165.87,1227.0,-0.0017,-140.0,-0.07,4236.0,0.1,0.383,1.0,535.78,-18.0,0.07,0.8,4.698,0.044
0,0,0,0,0.0,0.0,1.0,11.9,0.000406,16.79,508.8,14.274,-2.38e-05,-0.112,-1.9,1.91,288.79303,10.8474,48.04023,50.79034648,5670.0,1.406,-0.253,-0.0138,123.0,135.632759,0.154,0.993,2.38e-05,-12.57,612.0,-0.000406,-123.0,-0.058,6163.0,0.0138,0.076,1.0,33.12,-11.9,0.058,10.6,4.185,0.253
0,0,0,0,0.0,0.0,1.0,8.9,0.0031,312.16,24.5,14.842,-1.28e-05,-0.11,-0.2,0.26,296.85205,2.917,49.084438,3.28192056,191.0,1.162,-0.143,-0.0981,79.0,132.42485,0.099,0.993,1.28e-05,-197.99,1326.0,-0.0031,-79.0,-0.223,5859.0,0.0981,0.234,1.0,728.9,-8.9,0.223,1.6,4.335,0.19
0,0,0,0,0.0,0.0,1.0,20.3,0.0033,3.69,31.6,14.817,-0.000113,-0.081,-0.07,0.16,285.2962,4.045,46.603439,25.9421582,570.0,0.796,-0.028,-0.104,82.0,156.18894,0.013,1.0,0.000113,-1.89,501.0,-0.0033,-82.0,-0.372,5167.0,0.104,0.295,1.0,14.85,-20.3,0.577,1.95,4.585,0.066
0,1,0,0,0.0,0.0,1.0,240.0,6.32e-05,3.42,1758.7,15.993,-1.22e-06,-0.017,-4.78,2.2,297.284,5.00366,39.70768,15.28870918,512000.0,0.719,-0.063,-0.00325,132.0,132.8060911,0.059,0.0,1.22e-06,-4.29,509.0,-6.32e-05,-145.0,-0.004,4464.0,0.00325,0.007,1.0,15.84,-240.0,0.372,54.56,4.577,0.029
0,0,0,0,0.0,0.0,1.0,41.4,0.00275,0.91,36.9,15.777,-6.63e-05,-0.024,-0.21,0.14,282.23251,4.154,43.66563,20.09017037,1430.0,0.509,-0.046,-0.154,78.0,147.97788,0.052,1.0,6.63e-05,-0.98,362.0,-0.00275,-86.0,-0.638,3906.0,0.154,0.014,3.0,4.05,-41.4,0.886,2.25,4.73,0.032
0,1,0,0,0.0,0.0,1.0,88.1,0.00634,32.06,124.1,14.824,-0.000179,-0.175,-18.7,15.2,280.1925,4.2546,43.302479,36.1826854,9470.0,1.321,-0.437,-0.0408,186.0,144.69811,0.325,0.0,0.000179,-23.15,635.0,-0.00634,-169.0,-0.107,5696.0,0.0408,6.674,1.0,38.4,-88.1,1.267,56.41,4.151,0.357
0,0,0,0,0.0,0.0,1.0,10.4,0.00271,33.29,34.0,14.247,-7.5e-05,-0.112,-0.34,0.35,291.11188,4.4968,39.949108,21.58752788,337.0,1.191,-0.189,-0.0789,121.0,142.96728,0.137,1.0,7.5e-05,-25.5,747.0,-0.00271,-121.0,-0.009,6038.0,0.0789,0.392,4.0,73.42,-10.4,0.009,2.18,4.284,0.189
